Country,English speaking %
Monaco,75.0
United Arab Emirates,75.0
Qatar,60.0
Curacao,75.0
Kuwait,45.0
Maldives,55.0
Equatorial Guinea,5.0
San Marino,45.0
Saudi Arabia,30.0
Bahrain,65.0
Cuba,10.0
Ethiopia,5.0
Comoros,5.0
Ivory Coast,5.0
Niger,5.0
El Salvador,20.0
Laos,10.0
Senegal,10.0
South Korea,35.0
Japan,30.0
Serbia,45.0
Montenegro,45.0
Democratic Republic of the Congo,5.0
Taiwan,40.0
Sao Tome and Principe,5.0
Guinea,5.0
Albania,40.0
Oman,35.0
Saint Vincent,95.0
Palestine,20.0
Cape Verde,10.0
Guatemala,15.0
Mozambique,10.0
Georgia,30.0
Burkina Faso,5.0
Sudan,15.0
Guinea-Bissau,5.0
Angola,10.0
Mongolia,15.0
Moldova,25.0
Peru,15.0
Honduras,15.0
Togo,5.0
Venezuela,10.0
Dominican Republic,20.0
Bosnia and Herzegovina,40.0
Benin,5.0
North Macedonia,45.0
Burundi,5.0
Nicaragua,15.0
Bolivia,10.0
Somalia,5.0
Gabon,5.0
Tajikistan,5.0
Tuvalu,25.0
Kyrgyz Republic,10.0
Uzbekistan,10.0
Mauritania,5.0
Paraguay,10.0
Vietnam,25.0
Iran,15.0
Djibouti,10.0
Mali,5.0
Belarus,15.0
Haiti,5.0
Syria,10.0
Chad,5.0
Eritrea,10.0
Central African Republic,5.0
Timor-Leste,10.0
Tunisia,20.0
Bhutan,45.0
Libya,10.0
