Country,Healthcare Index (Ceoword)
Czech Republic,52.25
Andorra,60.0
San Marino,58.0
Liechtenstein,59.5
Brunei,54.0
Cayman Islands,48.0
Bahamas,45.0
Barbados,46.0
Trinidad and Tobago,42.0
Curacao,45.0
Antigua and Barbuda,41.0
Saint Kitts and Nevis,40.0
Saint Lucia,40.0
Grenada,40.0
Saint Vincent,39.0
Dominica,39.0
Jamaica,41.0
Fiji,40.0
Tonga,38.0
Samoa,38.0
Palau,43.0
Suriname,37.0
Belize,36.0
Guyana,35.0
Cape Verde,38.0
Botswana,40.0
Kyrgyz Republic,33.0
Rwanda,35.0
Gabon,32.0
Equatorial Guinea,30.0
Vanuatu,32.0
Solomon Islands,30.0
Marshall Islands,34.0
Laos,29.0
Nicaragua,30.0
Kiribati,31.0
Nauru,31.0
Tuvalu,32.0
Palestine,32.0
Sao Tome and Principe,32.0
Comoros,28.0
Zimbabwe,24.0
Mozambique,22.0
Ethiopia,25.0
Mauritania,22.0
Djibouti,24.0
Benin,22.0
Togo,21.0
Burkina Faso,20.0
Mali,19.0
Niger,18.0
Guinea,19.0
Guinea-Bissau,18.0
Gambia,21.0
Sierra Leone,18.0
Burundi,17.0
Malawi,20.0
Madagascar,19.0
Liberia,18.0
Eritrea,17.0
Haiti,16.0
Central African Republic,14.0
South Sudan,12.0
Somalia,11.0
Chad,13.0
Afghanistan,10.0
Yemen,11.0
Syria,13.0
Lesotho,23.0
Timor-Leste,26.0
