Country,Safety Score
Monaco,88.0
Cayman Islands,78.5
Hong Kong,78.2
Bahamas,42.0
Luxembourg,91.5
Liechtenstein,94.0
Vanuatu,72.0
Andorra,93.0
Malta,78.0
Seychelles,75.0
Marshall Islands,75.0
Curacao,75.0
Solomon Islands,60.0
Maldives,46.0
Barbados,80.0
Saint Kitts and Nevis,70.0
San Marino,95.0
Comoros,55.0
Ivory Coast,40.0
Palau,80.0
Saint Lucia,70.0
Antigua and Barbuda,70.0
Brunei,80.0
Grenada,75.0
Sao Tome and Principe,65.0
Dominica,70.0
Belize,35.0
Tonga,75.0
Saint Vincent,70.0
Cape Verde,65.0
Suriname,62.0
Fiji,70.0
Samoa,75.0
Nauru,70.0
Tuvalu,80.0
Kiribati,75.0
