,Country,Visa required
0,Monaco,100
1,Cayman Islands,50
2,Singapore,50
3,Switzerland,100
4,Iceland,100
5,Hong Kong,100
6,Bahamas,50
7,Luxembourg,100
8,Ireland,50
9,United States of America,50
10,Liechtenstein,100
11,United Kingdom,50
12,Netherlands,100
13,Australia,50
14,Norway,100
15,Denmark,100
16,Israel,100
17,United Arab Emirates,100
18,Canada,50
19,Austria,100
20,Vanuatu,100
21,Qatar,100
22,Andorra,100
23,Turkmenistan,50
24,Germany,100
25,Belgium,100
26,New Zealand,50
27,France,100
28,Sweden,100
29,Cyprus,100
30,Malta,100
31,Finland,100
32,Italy,100
33,Seychelles,50
34,Spain,100
35,Marshall Islands,100
36,Curacao,100
37,Slovenia,100
38,Kuwait,50
39,Portugal,100
40,Solomon Islands,50
41,Estonia,100
42,Czech Republic,100
43,Croatia,100
44,Maldives,50
45,Barbados,100
46,Poland,100
47,Saint Kitts and Nevis,100
48,Equatorial Guinea,50
49,Sierra Leone,50
50,San Marino,100
51,Uruguay,100
52,Panama,100
53,Slovakia,100
54,Costa Rica,100
55,Saudi Arabia,50
56,Greece,100
57,Lithuania,100
58,Bahrain,50
59,Cuba,50
60,Ethiopia,50
61,Comoros,50
62,Jamaica,100
63,Ivory Coast,50
64,Palau,50
65,Saint Lucia,50
66,Latvia,100
67,Niger,50
68,El Salvador,100
69,Guyana,50
70,Laos,50
71,Senegal,50
72,South Korea,100
73,Antigua and Barbuda,100
74,Japan,100
75,Trinidad and Tobago,50
76,Lebanon,50
77,Hungary,100
78,Serbia,100
79,Brunei,100
80,Armenia,100
81,Grenada,100
82,Montenegro,100
83,Democratic Republic of the Congo,50
84,Taiwan,50
85,Sao Tome and Principe,50
86,Guinea,50
87,Dominica,100
88,Belize,50
89,Albania,100
90,Oman,100
91,Tonga,50
92,South Africa,50
93,Mexico,50
94,Saint Vincent,100
95,Palestine,100
96,Cape Verde,50
97,Guatemala,100
98,Chile,100
99,Bulgaria,100
100,Mozambique,50
101,Romania,100
102,Namibia,50
103,Georgia,100
104,Burkina Faso,50
105,Jordan,50
106,Sudan,50
107,Russia,100
108,Turkey,100
109,Guinea-Bissau,50
110,Cameroon,50
111,Suriname,50
112,Nigeria,50
113,Angola,50
114,Zimbabwe,50
115,Mongolia,100
116,Moldova,100
117,Peru,100
118,Thailand,100
119,Argentina,100
120,Ecuador,100
121,Colombia,100
122,Fiji,100
123,Honduras,100
124,Togo,50
125,Venezuela,50
126,Mauritius,100
127,Dominican Republic,100
128,Bosnia and Herzegovina,100
129,Cambodia,50
130,Iraq,50
131,Zambia,50
132,Benin,50
133,Samoa,50
134,North Macedonia,100
135,Azerbaijan,100
136,Burundi,50
137,Nauru,50
138,Nicaragua,100
139,Morocco,50
140,Brazil,100
141,Kenya,50
142,Bolivia,50
143,Tanzania,50
144,Somalia,50
145,Gabon,50
146,Rwanda,50
147,Malaysia,100
148,Tajikistan,100
149,Tuvalu,50
150,Kyrgyz Republic,100
151,Uzbekistan,100
152,Uganda,50
153,Mauritania,50
154,Paraguay,100
155,Kazakhstan,100
156,China,50
157,Ukraine,100
158,Lesotho,50
159,Ghana,50
160,Botswana,50
161,Vietnam,50
162,Philippines,50
163,Myanmar,50
164,Iran,50
165,Djibouti,50
166,Indonesia,50
167,Mali,50
168,Belarus,100
169,Gambia,50
170,Sri Lanka,50
171,Papua New Guinea,50
172,Haiti,100
173,Malawi,50
174,Syria,50
175,Yemen,50
176,Chad,50
177,Madagascar,50
178,Kiribati,100
179,Liberia,50
180,Eritrea,50
181,Central African Republic,50
182,South Sudan,50
183,Timor-Leste,50
184,Eswatini,100
185,Tunisia,100
186,Algeria,50
187,Afghanistan,50
188,India,50
189,Bangladesh,50
190,Bhutan,50
191,Libya,50
192,Egypt,50
193,Pakistan,50
194,Nepal,50
195,Republic of the Congo,50
